from to distance betweenness
1601 2444 1012.1 17802.3242842
1266 1575 816.32 12418.0250992
2432 2443 767.63 9240.0
1570 1601 492.24 9142.30882635
2431 2444 361.45 9057.95096303
2436 2443 201.13 8652.0
1569 1578 814.52 8578.67244324
2393 2435 826.61 8340.53868296
2436 2447 370.63 8060.0
1574 1575 388.29 7657.19594053
1737 1745 288.37 7652.11616892
1197 1211 486.61 7464.0
1570 1572 449.17 7196.97148981
1211 1288 726.63 6893.18039549
1745 1760 524.5 6870.82235039
1197 1199 174.45 6864.0
1578 1579 464.35 6637.79444038
1637 1737 766.37 6557.14954729
1570 1602 687.2 6102.11136235
1642 2497 680.02 6090.95650001
2423 2431 443.87 6018.28241101
1751 2430 809.31 5942.95977083
1602 1617 819.25 5641.24469569
1640 4960 566.93 5622.00606257
1226 1569 814.27 5571.17373227
1760 2435 620.69 5394.97136833
2441 2444 524.72 5350.81213642
1636 1640 576.07 5231.88841569
1565 1572 455.09 5106.7049412
2414 2435 721.08 4981.29834391
1608 1642 610.8 4844.72953159
2435 2451 374.61 4698.99244155
1565 1568 319.57 4600.69411549
2490 2497 384.91 4577.44489733
2451 2490 867.14 4518.42889894
2427 2432 457.96 4374.11027469
1588 1640 809.49 4288.51203032
1581 1646 571.78 4254.81990781
1646 1751 485.22 4253.60883488
2490 2494 202.98 4148.15906244
1276 1288 326.89 4074.57949227
2427 2435 426.69 4061.40905993
1666 4865 1032.0 3874.32608227
1637 1707 477.21 3856.84413153
1199 1202 444.72 3804.0
1646 1776 670.61 3772.10245938
1280 1565 592.14 3700.08531138
2430 2434 621.09 3698.42363822
2430 2435 157.6 3677.78101386
1259 1267 618.21 3588.74871219
1568 1590 727.32 3544.53401743
1266 1276 571.0 3540.86511095
1566 1608 607.09 3537.92679262
1577 1588 537.45 3473.62336208
1590 1601 330.48 3461.51242675
2429 2441 572.14 3381.267587
1666 2431 695.79 3290.8968927
1579 1581 132.72 3238.11423761
1202 1239 589.2 3180.0
2429 2432 282.33 3167.8293814
1566 1575 194.24 3115.4655182
1259 1266 486.28 3095.68929356
1611 1662 844.43 2990.51646418
1637 4960 476.04 2882.20682899
1571 1577 173.22 2808.52206338
1572 1578 192.5 2806.00925575
1617 1649 541.88 2761.19232473
1646 4943 625.08 2732.02581871
1574 1625 617.12 2657.32103497
1598 1622 481.92 2652.66292614
1595 1611 532.5 2638.31949448
1215 1226 407.97 2565.62968854
2447 2457 165.48 2525.33333333
1622 1652 486.98 2499.67432899
1574 1608 495.76 2482.34919496
1285 1565 585.62 2446.47133469
1288 1559 425.9 2430.934999
2432 2434 149.8 2382.07302338
