from to distance betweenness top10
2423 2428 259.27 1161.53300749 True
2407 2423 298.18 982.260213404 True
1636 1662 282.15 720.0 True
1662 1673 248.31 704.0 True
1666 2476 273.03 624.0 True
1786 1790 296.67 434.0 True
1642 1668 337.39 398.5 True
2428 2435 289.08 387.0 True
1652 1673 228.18 345.0 True
1655 1673 261.94 345.0 True
2438 2441 311.07 336.0 True
1636 1642 178.91 333.5 True
2428 2437 316.72 327.0 True
1652 1666 322.07 325.0 True
1655 1666 253.98 325.0 True
1792 2476 251.93 324.0 True
2676 2678 304.26 309.696969697 True
2428 2431 262.9 306.0 True
2384 2391 333.05 280.25562805 True
2391 2407 295.35 276.049384404 True
2474 2476 164.64 270.0 False
2671 2673 233.19 264.0 False
2411 2415 297.91 250.857929286 False
2424 2428 209.68 246.466992513 False
2428 2433 267.76 240.0 False
1790 2474 292.4 233.0 False
1790 1792 270.88 232.0 False
2441 2448 284.53 232.0 False
2385 2386 308.05 230.602600935 False
2417 2424 266.25 217.207724362 False
2678 2682 307.45 207.570245175 False
914 1550 270.92 201.006085204 False
2435 2438 308.43 198.333333333 False
1627 1638 265.6 195.5 False
1776 1786 296.44 192.0 False
1778 1786 293.66 192.0 False
2416 2426 313.15 191.227352429 False
2405 2417 284.98 185.969513926 False
2417 2423 257.62 182.987950739 False
2431 2438 283.03 181.666666667 False
1627 1636 137.65 177.333333333 False
2407 2419 284.15 173.850462943 False
2407 2421 266.36 173.850462943 False
2394 2416 314.49 172.527336043 False
2674 2676 291.2 171.0 False
2675 2676 176.82 171.0 False
2433 2438 287.86 170.0 False
1628 1637 273.23 168.0 False
1668 1758 247.64 155.833333333 False
2607 2682 290.5 150.224434529 False
1638 1645 167.59 148.566666667 False
2673 2674 190.17 147.0 False
2673 2675 304.55 147.0 False
2405 2420 243.83 137.85029046 False
2414 2417 306.36 136.701302919 False
1770 1776 297.23 136.0 False
1770 1778 282.49 136.0 False
2415 2422 232.79 134.805637445 False
2384 2389 302.86 133.181427775 False
1665 2497 132.47 132.0 False
2394 2407 288.56 130.106444895 False
2585 2607 292.89 129.042000192 False
1626 1628 217.07 128.0 False
1668 1752 195.12 126.166666667 False
2415 2417 195.66 125.077198582 False
1545 1550 238.11 120.469113073 False
1665 4961 270.08 120.0 False
2484 2490 286.16 120.0 False
2426 2427 194.68 118.0 False
2437 2456 310.6 118.0 False
2448 2455 289.86 118.0 False
2398 2410 315.85 116.730634081 False
2438 2442 272.12 112.0 False
2390 2407 304.35 111.525183865 False
2393 2407 302.74 111.525183865 False
1668 1761 265.45 109.9 False
2401 2419 271.13 109.870044331 False
2401 2421 287.34 109.870044331 False
2392 2411 305.2 106.514059825 False
2402 2411 290.64 106.514059825 False
2435 2444 311.64 105.933333333 False
2565 2585 244.56 105.911911512 False
2385 2394 242.96 104.32010494 False
2401 2413 261.59 101.556857144 False
1637 1649 235.32 101.428571429 False
2574 2592 305.8 100.098671149 False
2395 2407 291.77 97.9892327949 False
5396 5409 309.61 97.4380952381 False
1547 1550 196.64 94.512153366 False
2384 2388 284.42 93.9720222396 False
2437 2444 274.27 93.2666666667 False
2428 2430 256.67 90.0 False
1645 1670 287.25 88.9 False
2396 2412 260.07 88.1644341438 False
2494 2497 333.7 88.0 False
2497 2501 303.33 88.0 False
4064 4067 367.17 88.0 False
2386 2399 284.0 87.3338469933 False
2431 2440 327.42 87.2666666667 False
1271 1288 295.51 86.4424908425 False
